arquivo,estilo_real,estilo_llm
axe - Salvador Brilha.mp3,axe,axé
"classica - Salvador, Terra do Sol e Axé(1).mp3",classica,clássica
"classica - Salvador, Terra do Sol e Axé.mp3",classica,clássica
funk - Salvador no Groove(1).mp3,funk,axé
funk - Salvador no Groove.mp3,funk,axé
gospel - Salvador de Luz(1).mp3,gospel,gospel
gospel - Salvador de Luz.mp3,gospel,gospel
"pagode - Salvador, Terra de Axé(1).mp3",pagode,axé
"pagode - Salvador, Terra de Axé.mp3",pagode,axé
"rock - Salvador, Brasa na Pele(1).mp3",rock,rock
"rock - Salvador, Brasa na Pele.mp3",rock,rock
sertanejo - Salvador de Saudade(1).mp3,sertanejo,mpb
sertanejo - Salvador de Saudade.mp3,sertanejo,mpb
