ano,artista,faixa,genero1,id
2015,*NSYNC,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,pop,161
2024,"Agnes Nunes, Xamã",Cida,mpb,111
2017,Alceu Valença,Voltei Recife,mpb,108
2021,Alceu Valença,La Belle De Jour,mpb,121
2021,Alceu Valença,Morena Tropicana,forró,178
2020,Ana Castela,Boiadeira,sertanejo ,17
2019,ANAVITÓRIA,A Gente Junto,mpb,102
2020,ANAVITÓRIA,Me conta da tua janela,mpb,106
2018,Anitta,Envolver,funk,38
2018,Anitta,Boys dont cry,pop,157
2021,"Anitta, Mc Danny, HITMAKER",Sei Que Tu Me Odeia,funk,31
2021,Arlindo Cruz,Será que é amor,pagode,184
2021,Avine Vinny,Anota Aí - Ao Vivo,forró,70
2021,Baco Exu do Blues,20 Ligações,hip-hop,133
2023,"Baco Exu do Blues, Gal Costa",Lágrimas,mpb,116
2018,"Baco Exu do Blues, Tim Bernardes",Queima Minha Pele,hip-hop,130
2024,Barão vermelho,queria ter uma bomba,rock,146
2023,Beach Weather,"Sex, drugs, etc",rock,228
2006,Belo,Pra ver o sol brilhar,pagode,93
2022,Belo,Reinventar,pagode,100
2022,Billie Eilish,CHIHIRO,pop,158
2025,Billie Eilish,LUNCH,pop,160
2024,BK,Universo,hip-hop,200
2025,Black eyed pears,RITMO (Bad Boys For Life),pop,168
2024,Bobby Helms,Jingle Bell Rock,pop,167
2024,"Boladin 211, Dejinha, MC Rick",Penélope Charmosa 2,funk,32
1994,"Boladin 211, MC Rick, MC Leozinho ZS, CAO$, Dj Lv Mdp","Chapa Máxima - feat. CAO$, Dj Lv Mdp",funk,42
2015,Bruno Mars,The lazy song,pop,241
2023,Caio Luccas,Logo Eu,hip-hop,135
2010,Capital Inicial,À sua maneira,rock,210
2024,Carol Biazin,Menta com chá,mpb,191
2024,Cazuza,Exagerado,rock,215
2025,Charlie Brown Jr.,Zóio De Lula,rock,143
2024,Charlie Brown Jr.,Ela vai voltar,rock,224
2025,"Chefin, LB Único",Se Essa Bunda For Uma Empresa,funk,36
2025,Chico César,Deus Me Proteja,mpb,118
2025,"Cleber & Cauan, Jorge",Pedaço Meu - Ao Vivo,sertanejo ,7
2022,CPM 22,Um minuto para o fim do mundo,rock,211
2024,Danilo e Davi,Apaga Apaga Apaga - Ao Vivo,sertanejo ,23
2024,Delacruz,Afrodite,hip-hop,134
2024,Delacruz,A meta é ficar bem,hip-hop,209
2024,Detonautas,Outro lugar,rock,148
2024,"DG e Batidão Stronda, Mc Davi, J. Eskine, MC G15",Mãe Solteira,funk,37
2024,Diego & Victor Hugo,Tubarões - Ao Vivo,sertanejo ,22
2017,Dilsinho,12 Horas (Ao Vivo),pagode,90
2016,"Dilsinho, Henrique & Juliano",Sogra - Ao Vivo,sertanejo ,8
2017,"DJ Douglinhas, DJ Miller Oficial, MC Torugo",Puta É Só um Detalhe,funk,34
2021,Dj Luan Gomes,MTG QUERO VER SE VOCÊ TEM ATITUDE,funk,56
2016,Djonga ,Solto,hip-hop,124
2018,"Djonga, Coyote Beatz, Filiph Neo",em quase tudo,hip-hop,137
2017,Dominguinhos,ISSO AQUI TA BOM DEMAIS,forró,63
2024,Duquesa,99 problemas,hip-hop,138
2024,Duquesa,Fuso,hip-hop,140
2024,Ebony,Espero que entenda,hip-hop,207
2024,Eduardo Costa,Saudade,sertanejo ,19
2024,Emicida ,Hoje cedo,hip-hop,132
2024,Eminem,Monster,pop,240
2024,Eric Land,Vaqueira,forró,69
2023,Eric Land,Cidade Inteira,forró,176
2025,Exaltasamba,Me apaixonei pela pessoa errada,pagode,188
2024,Exaltasamba,Gamei,pagode,189
2025,Felipe Amorim,Teus Sinais,forró,76
1985,Felipe e Rodrigo,Gosta de rua,sertanejo ,242
2022,Felipe Ret,A meu favor,hip-hop,141
2021,Ferrugem,Pirata e tesouro - Ao vivo,pagode,89
2019,"Ferrugem, Sorriso Maroto",Apaguei Pra Todos - Ao Vivo,pagode,94
2020,Fiorella,Só Vivendo,forró,172
2021,Gamadinho,Instinto,pagode,99
2022,Gloria Groove,Da braba,funk,59
2023,Gloria Groove,Nosso Primeiro Beijo - Ao Vivo,pagode,84
2021,Grupo fundo de quintal,A amizade,pagode,186
2020,Grupo Menos É Mais,Coração Partido (Corazón Partío) - Ao Vivo,pagode,83
2019,Grupo Revelação,Sina,pagode,185
2022,Gusttavo Lima,Não Me Arranha - Ao Vivo,sertanejo ,4
2025,Gusttavo Lima,Mundo de Ilusões - Ao Vivo,sertanejo ,9
2023,"Henrique & Diego, Matheus & Kauan",Ciumento Eu (feat. Matheus & Kauan) - Ao Vivo,sertanejo ,3
2024,Henrique & Juliano,Bateria Externa - Ao Vivo,sertanejo ,6
2025,Henrique & Juliano,Última Saudade - Ao Vivo,sertanejo ,25
2021,Henry Freitas,Mantenha Distância,forró,64
2021,Hozier,Too Sweet,pop,154
2018,Iguinho e Lulinha,Fora do Comum,forró,177
2024,Imagine Dragons,Believer,rock,147
2024,"Ivete Sangalo, Wesley Safadão",À Vontade,mpb,105
2024,Iza,Nunca mais ,mpb,194
2023,Jey,Como É Que Vamos Fazer?,hip-hop,139
2017,Jimin,Who,pop,165
2022,"Jimin, Loco",Smeraldo Garden Marching Band (feat. Loco),pop,162
2017,João Gomes,Lembrei de Nós,forró,75
2018,João Gomes,Flor de flamboyant,forró,78
2019,Jonas Esticado,Isca,forró,174
2022,Jorge & Mateus,Paradigmas,sertanejo ,14
2022,Jorge & Mateus,Cantada Boba - Ao Vivo,sertanejo ,26
2006,Jorge & Mateus,Pra ter o seu amor ,sertanejo ,30
2024,Kamisa 10,Você é meu mô,pagode,180
2024,Katy Perry,Roar,pop,239
2010,Kayblack,Misterios,hip-hop,205
2018,"KayBlack, AMUSIK, Wall Hein",Licor 43,pagode,92
2024,Kell Smith,Era uma vez,mpb,198
2025,Kesha,Tik tok,pop,237
